"Date","Hour","WAP (TL/MWh)"
"01.01.2019","00:00","100.23"
"01.01.2019","01:00","96.85"
"01.01.2019","02:00","80.25"
"01.01.2019","03:00","38.28"
"01.01.2019","04:00","11.67"
"01.01.2019","05:00","11.09"
"01.01.2019","06:00","11.30"
"01.01.2019","07:00","23.07"
"01.01.2019","08:00","33.56"
"01.01.2019","09:00","44.22"
"01.01.2019","10:00","68.03"
"01.01.2019","11:00","98.54"
"01.01.2019","12:00","100.10"
"01.01.2019","13:00","99.31"
"01.01.2019","14:00","103.11"
"01.01.2019","15:00","101.02"
"01.01.2019","16:00","119.70"
"01.01.2019","17:00","282.02"
"01.01.2019","18:00","285.08"
"01.01.2019","19:00","282.38"
"01.01.2019","20:00","281.86"
"01.01.2019","21:00","277.22"
"01.01.2019","22:00","200.92"
"01.01.2019","23:00","101.44"
"02.01.2019","00:00","103.99"
"02.01.2019","01:00","87.81"
"02.01.2019","02:00","82.74"
"02.01.2019","03:00","44.77"
"02.01.2019","04:00","32.17"
"02.01.2019","05:00","52.85"
"02.01.2019","06:00","121.43"
"02.01.2019","07:00","284.21"
"02.01.2019","08:00","287.77"
"02.01.2019","09:00","277.70"
"02.01.2019","10:00","291.76"
"02.01.2019","11:00","297.78"
"02.01.2019","12:00","292.26"
"02.01.2019","13:00","289.86"
"02.01.2019","14:00","292.42"
"02.01.2019","15:00","291.45"
"02.01.2019","16:00","292.75"
"02.01.2019","17:00","298.70"
"02.01.2019","18:00","296.72"
"02.01.2019","19:00","293.65"
"02.01.2019","20:00","286.54"
"02.01.2019","21:00","286.77"
"02.01.2019","22:00","285.08"
"02.01.2019","23:00","253.30"
"03.01.2019","00:00","123.48"
"03.01.2019","01:00","248.84"
"03.01.2019","02:00","203.95"
"03.01.2019","03:00","147.88"
"03.01.2019","04:00","108.09"
"03.01.2019","05:00","174.89"
"03.01.2019","06:00","218.43"
"03.01.2019","07:00","282.67"
"03.01.2019","08:00","291.05"
"03.01.2019","09:00","288.97"
"03.01.2019","10:00","288.32"
"03.01.2019","11:00","289.60"
"03.01.2019","12:00","279.28"
"03.01.2019","13:00","281.52"
"03.01.2019","14:00","281.54"
"03.01.2019","15:00","281.01"
"03.01.2019","16:00","282.82"
"03.01.2019","17:00","285.46"
"03.01.2019","18:00","280.22"
"03.01.2019","19:00","238.11"
"03.01.2019","20:00","181.06"
"03.01.2019","21:00","262.93"
"03.01.2019","22:00","250.99"
"03.01.2019","23:00","99.27"
"04.01.2019","00:00","99.80"
"04.01.2019","01:00","77.48"
"04.01.2019","02:00","20.67"
"04.01.2019","03:00","3.20"
"04.01.2019","04:00","3.42"
"04.01.2019","05:00","13.51"
"04.01.2019","06:00","98.41"
"04.01.2019","07:00","194.03"
"04.01.2019","08:00","278.79"
"04.01.2019","09:00","284.20"
"04.01.2019","10:00","288.67"
"04.01.2019","11:00","291.23"
"04.01.2019","12:00","285.13"
"04.01.2019","13:00","279.93"
"04.01.2019","14:00","281.27"
"04.01.2019","15:00","280.28"
"04.01.2019","16:00","278.09"
"04.01.2019","17:00","275.63"
"04.01.2019","18:00","271.03"
"04.01.2019","19:00","266.70"
"04.01.2019","20:00","267.29"
"04.01.2019","21:00","262.85"
"04.01.2019","22:00","240.48"
"04.01.2019","23:00","219.35"
"05.01.2019","00:00","171.38"
"05.01.2019","01:00","187.76"
"05.01.2019","02:00","111.84"
"05.01.2019","03:00","111.98"
"05.01.2019","04:00","99.55"
"05.01.2019","05:00","142.04"
"05.01.2019","06:00","161.81"
"05.01.2019","07:00","245.04"
"05.01.2019","08:00","245.87"
"05.01.2019","09:00","271.16"
"05.01.2019","10:00","268.14"
