"Contract Type","Contract Name","Clearing Quantity (MWh)"
"Hourly","PH19010100","331.20"
"Block","PB19010100-02","0.30"
"Block","PB19010100-01","44.40"
"Block","PB19010101-01","69.60"
"Hourly","PH19010101","527.70"
"Hourly","PH19010102","196.70"
"Block","PB19010102-01","98.20"
"Hourly","PH19010103","414.70"
"Block","PB19010103-01","101.20"
"Hourly","PH19010104","497.50"
"Block","PB19010104-01","74.90"
"Block","PB19010104-07","13.50"
"Block","PB19010104-02","0.30"
"Hourly","PH19010105","523.70"
"Block","PB19010105-01","108.20"
"Hourly","PH19010106","515.50"
"Block","PB19010106-01","127.70"
"Block","PB19010107-01","93.20"
"Hourly","PH19010107","302.40"
"Block","PB19010108-01","109.00"
"Block","PB19010108-02","0.30"
"Hourly","PH19010108","269.30"
"Hourly","PH19010109","236.10"
"Block","PB19010109-01","79.80"
"Block","PB19010110-01","93.50"
"Hourly","PH19010110","224.90"
"Hourly","PH19010111","526.90"
"Block","PB19010111-01","91.80"
"Block","PB19010112-01","101.60"
"Hourly","PH19010112","773.30"
"Block","PB19010113-01","99.90"
"Hourly","PH19010113","833.90"
"Block","PB19010114-01","101.80"
"Hourly","PH19010114","818.00"
"Block","PB19010115-02","0.50"
"Hourly","PH19010115","921.30"
"Block","PB19010115-01","75.00"
"Hourly","PH19010116","764.00"
"Block","PB19010116-05","25.00"
"Block","PB19010116-01","119.20"
"Block","PB19010117-04","20.00"
"Block","PB19010117-01","87.10"
"Hourly","PH19010117","504.90"
"Block","PB19010118-01","89.00"
"Hourly","PH19010118","569.60"
"Block","PB19010119-01","112.80"
"Hourly","PH19010119","438.40"
"Hourly","PH19010120","408.30"
"Block","PB19010120-01","65.70"
"Hourly","PH19010121","367.40"
"Block","PB19010121-01","52.30"
"Hourly","PH19010122","510.00"
"Block","PB19010122-01","55.20"
"Block","PB19010123-01","80.40"
"Hourly","PH19010123","743.50"
"Hourly","PH19010200","164.30"
"Block","PB19010200-01","100.90"
"Block","PB19010201-01","99.30"
"Hourly","PH19010201","240.30"
"Block","PB19010202-01","109.20"
"Hourly","PH19010202","176.40"
"Hourly","PH19010203","151.10"
"Block","PB19010203-01","77.00"
"Block","PB19010204-01","51.90"
"Hourly","PH19010204","182.30"
"Block","PB19010205-01","62.70"
"Hourly","PH19010205","211.60"
"Hourly","PH19010206","132.10"
"Block","PB19010206-01","57.70"
"Block","PB19010207-01","49.00"
"Hourly","PH19010207","101.30"
"Block","PB19010208-01","40.70"
"Hourly","PH19010208","106.90"
"Block","PB19010209-01","53.40"
"Hourly","PH19010209","58.90"
"Hourly","PH19010210","336.80"
"Block","PB19010210-01","60.60"
"Block","PB19010211-01","55.70"
"Hourly","PH19010211","776.40"
"Block","PB19010212-01","68.70"
"Hourly","PH19010212","733.90"
"Hourly","PH19010213","676.60"
"Block","PB19010213-01","76.70"
"Block","PB19010214-01","79.80"
"Hourly","PH19010214","645.50"
"Block","PB19010215-01","85.80"
"Hourly","PH19010215","799.70"
"Block","PB19010216-01","81.80"
"Hourly","PH19010216","738.00"
"Hourly","PH19010217","870.90"
"Block","PB19010217-01","58.90"
"Hourly","PH19010218","675.90"
"Block","PB19010218-01","64.20"
"Block","PB19010219-01","53.60"
"Hourly","PH19010219","664.40"
"Hourly","PH19010220","441.70"
"Block","PB19010220-01","27.70"
"Block","PB19010221-01","35.30"
"Hourly","PH19010221","514.30"
"Hourly","PH19010222","815.60"
"Block","PB19010222-01","41.70"
"Hourly","PH19010223","797.20"
"Block","PB19010223-01","51.30"
"Block","PB19010300-01","45.40"
"Hourly","PH19010300","305.20"
"Block","PB19010301-01","38.80"
"Hourly","PH19010301","290.40"
"Block","PB19010302-01","58.10"
"Hourly","PH19010302","331.50"
"Block","PB19010303-01","39.60"
"Hourly","PH19010303","328.60"
"Block","PB19010304-01","46.00"
"Hourly","PH19010304","262.30"
"Block","PB19010305-01","51.70"
"Hourly","PH19010305","247.70"
"Block","PB19010306-01","43.40"
"Hourly","PH19010306","233.20"
"Block","PB19010307-01","63.30"
"Hourly","PH19010307","222.40"
"Block","PB19010308-01","84.60"
"Hourly","PH19010308","217.80"
"Block","PB19010309-01","102.30"
"Hourly","PH19010309","210.90"
"Block","PB19010310-01","126.40"
"Hourly","PH19010310","257.60"
"Block","PB19010311-01","117.90"
"Hourly","PH19010311","401.00"
"Block","PB19010312-01","94.80"
"Hourly","PH19010312","399.90"
"Block","PB19010313-01","94.50"
"Hourly","PH19010313","499.80"
"Block","PB19010314-02","18.30"
"Block","PB19010314-01","103.20"
"Block","PB19010314-03","0.50"
"Hourly","PH19010314","527.70"
"Block","PB19010315-01","72.30"
"Hourly","PH19010315","494.30"
"Block","PB19010316-03","18.30"
"Block","PB19010316-01","107.20"
"Hourly","PH19010316","404.30"
"Block","PB19010317-01","101.00"
"Hourly","PH19010317","462.00"
"Block","PB19010318-01","59.60"
"Hourly","PH19010318","472.70"
"Block","PB19010319-01","81.50"
"Hourly","PH19010319","744.20"
"Block","PB19010320-01","120.40"
"Hourly","PH19010320","832.20"
"Block","PB19010321-01","120.10"
"Hourly","PH19010321","701.70"
"Block","PB19010322-01","90.70"
"Hourly","PH19010322","764.90"
"Block","PB19010323-01","103.30"
"Hourly","PH19010323","650.20"
"Hourly","PH19010400","298.30"
"Block","PB19010400-01","66.70"
"Hourly","PH19010401","350.60"
"Block","PB19010401-01","108.00"
"Block","PB19010402-01","88.30"
"Hourly","PH19010402","348.50"
"Hourly","PH19010403","529.00"
"Block","PB19010403-01","73.30"
"Block","PB19010404-01","75.50"
"Hourly","PH19010404","597.50"
"Block","PB19010404-02","3.00"
"Block","PB19010405-01","91.10"
"Hourly","PH19010405","392.00"
"Block","PB19010406-01","92.70"
"Hourly","PH19010406","260.20"
"Block","PB19010407-01","111.70"
"Hourly","PH19010407","181.10"
"Hourly","PH19010408","181.70"
"Block","PB19010408-01","93.50"
"Block","PB19010409-01","73.40"
"Hourly","PH19010409","267.10"
"Block","PB19010410-01","115.90"
"Hourly","PH19010410","389.40"
"Hourly","PH19010411","758.20"
"Block","PB19010411-01","115.80"
"Hourly","PH19010412","864.80"
"Block","PB19010412-01","56.40"
"Block","PB19010413-01","76.20"
"Hourly","PH19010413","1,030.30"
"Hourly","PH19010414","841.80"
"Block","PB19010414-01","61.10"
"Block","PB19010414-03","20.00"
"Block","PB19010415-01","68.30"
"Hourly","PH19010415","935.80"
"Block","PB19010416-01","71.50"
"Hourly","PH19010416","827.90"
"Hourly","PH19010417","900.40"
"Block","PB19010417-01","108.70"
"Block","PB19010417-02","20.00"
"Block","PB19010418-04","6.00"
"Block","PB19010418-02","4.40"
"Block","PB19010418-05","0.00"
"Block","PB19010418-01","114.60"
"Hourly","PH19010418","680.90"
"Hourly","PH19010419","720.20"
"Block","PB19010419-01","105.50"
"Block","PB19010419-05","0.30"
"Block","PB19010419-02","1.20"
"Hourly","PH19010420","659.10"
"Block","PB19010420-02","4.00"
"Block","PB19010420-01","112.30"
"Block","PB19010420-03","2.00"
"Block","PB19010421-03","19.00"
"Block","PB19010421-01","165.10"
"Hourly","PH19010421","667.60"
"Hourly","PH19010422","507.50"
"Block","PB19010422-02","0.10"
"Block","PB19010422-01","203.80"
"Block","PB19010423-01","227.90"
"Hourly","PH19010423","508.90"
"Block","PB19010500-01","78.30"
"Block","PB19010500-10","3.00"
"Block","PB19010500-24","0.40"
"Hourly","PH19010500","196.90"
"Block","PB19010501-01","81.20"
