"Contract Type","Contract Name","Min.Bid Price (TL/MWh)","Max. Bid Price (TL/MWh)"
"Hourly","PH19010100","5.00","101.38"
"Block","PB19010100-02","98.55","98.55"
"Block","PB19010100-01","100.00","100.94"
"Block","PB19010101-01","96.72","100.98"
"Hourly","PH19010101","5.00","97.55"
"Hourly","PH19010102","41.00","81.60"
"Block","PB19010102-01","81.00","81.96"
"Hourly","PH19010103","1.00","45.00"
"Block","PB19010103-01","38.00","40.00"
"Hourly","PH19010104","1.00","15.00"
"Block","PB19010104-01","11.52","12.16"
"Block","PB19010104-07","30.00","30.00"
"Block","PB19010104-02","11.33","11.33"
"Hourly","PH19010105","1.00","11.14"
"Block","PB19010105-01","10.48","11.14"
"Hourly","PH19010106","1.10","11.14"
"Block","PB19010106-01","7.00","11.72"
"Block","PB19010107-01","10.00","25.35"
"Hourly","PH19010107","3.00","35.00"
"Block","PB19010108-01","7.50","35.24"
"Block","PB19010108-02","39.85","39.85"
"Hourly","PH19010108","4.00","45.00"
"Hourly","PH19010109","6.10","46.56"
"Block","PB19010109-01","39.00","45.21"
"Block","PB19010110-01","57.00","73.00"
"Hourly","PH19010110","9.00","73.26"
"Hourly","PH19010111","13.00","102.12"
"Block","PB19010111-01","79.00","103.00"
"Block","PB19010112-01","79.00","102.94"
"Hourly","PH19010112","10.00","997.00"
"Block","PB19010113-01","11.00","100.36"
"Hourly","PH19010113","11.00","101.00"
"Block","PB19010114-01","94.00","104.73"
"Hourly","PH19010114","13.00","105.00"
"Block","PB19010115-02","110.00","110.00"
"Hourly","PH19010115","10.39","106.55"
"Block","PB19010115-01","75.00","107.00"
"Hourly","PH19010116","1.00","119.98"
"Block","PB19010116-05","254.61","254.61"
"Block","PB19010116-01","99.00","119.00"
"Block","PB19010117-04","288.84","288.84"
"Block","PB19010117-01","280.98","286.93"
"Hourly","PH19010117","200.00","290.77"
"Block","PB19010118-01","290.00","291.52"
"Hourly","PH19010118","200.00","293.68"
"Block","PB19010119-01","266.07","289.14"
"Hourly","PH19010119","200.00","289.54"
"Hourly","PH19010120","201.00","295.10"
"Block","PB19010120-01","265.00","287.76"
"Hourly","PH19010121","201.00","290.74"
"Block","PB19010121-01","249.01","285.18"
"Hourly","PH19010122","100.00","207.66"
"Block","PB19010122-01","194.01","204.89"
"Block","PB19010123-01","96.00","103.48"
"Hourly","PH19010123","15.00","104.52"
"Hourly","PH19010200","80.00","114.00"
"Block","PB19010200-01","102.00","104.69"
"Block","PB19010201-01","82.00","88.25"
