"Contract Type","Contract Name","Bid Quantity (MWh)","Offer Quantity (MWh)"
"Hourly","PH19010100","392.50","509.40"
"Block","PB19010100-02","0.30","0.30"
"Block","PB19010100-01","44.40","44.40"
"Block","PB19010101-01","69.60","69.60"
"Hourly","PH19010101","910.00","664.20"
"Hourly","PH19010102","576.70","349.60"
"Block","PB19010102-01","98.20","98.20"
"Hourly","PH19010103","797.40","552.90"
"Block","PB19010103-01","101.20","101.20"
"Hourly","PH19010104","669.30","893.90"
"Block","PB19010104-01","74.90","74.90"
"Block","PB19010104-07","13.50","13.50"
"Block","PB19010104-02","0.30","0.30"
"Hourly","PH19010105","720.10","1,149.70"
"Block","PB19010105-01","108.20","108.20"
"Hourly","PH19010106","697.40","1,110.30"
"Block","PB19010106-01","127.70","127.70"
"Block","PB19010107-01","93.20","109.00"
"Hourly","PH19010107","4,507.20","442.80"
"Block","PB19010108-01","109.00","109.00"
"Block","PB19010108-02","0.30","0.30"
"Hourly","PH19010108","2,231.90","489.10"
"Hourly","PH19010109","2,993.30","572.30"
"Block","PB19010109-01","79.80","79.80"
"Block","PB19010110-01","93.50","93.50"
"Hourly","PH19010110","1,130.70","649.20"
"Hourly","PH19010111","1,072.90","1,039.20"
"Block","PB19010111-01","91.80","91.80"
"Block","PB19010112-01","101.60","101.60"
"Hourly","PH19010112","1,458.60","1,161.00"
"Block","PB19010113-01","99.90","99.90"
"Hourly","PH19010113","1,888.30","1,065.20"
"Block","PB19010114-01","101.80","101.80"
"Hourly","PH19010114","2,084.10","1,085.00"
"Block","PB19010115-02","0.50","0.50"
"Hourly","PH19010115","2,457.60","1,211.30"
"Block","PB19010115-01","75.00","75.00"
"Hourly","PH19010116","1,808.20","1,383.00"
"Block","PB19010116-05","25.00","25.00"
"Block","PB19010116-01","119.20","119.20"
"Block","PB19010117-04","20.00","20.00"
"Block","PB19010117-01","87.10","87.10"
"Hourly","PH19010117","1,874.10","1,133.40"
"Block","PB19010118-01","89.00","89.00"
"Hourly","PH19010118","2,730.90","2,417.20"
"Block","PB19010119-01","112.80","112.80"
"Hourly","PH19010119","1,796.00","3,257.60"
"Hourly","PH19010120","1,326.30","2,944.10"
"Block","PB19010120-01","65.70","65.80"
"Hourly","PH19010121","1,282.60","2,668.00"
"Block","PB19010121-01","52.30","52.30"
"Hourly","PH19010122","2,554.40","931.50"
"Block","PB19010122-01","55.20","55.20"
"Block","PB19010123-01","80.40","80.40"
"Hourly","PH19010123","9,487.00","1,011.40"
"Hourly","PH19010200","325.20","249.90"
"Block","PB19010200-01","100.90","100.90"
"Block","PB19010201-01","99.30","99.30"
"Hourly","PH19010201","441.50","410.00"
"Block","PB19010202-01","109.20","109.20"
"Hourly","PH19010202","552.60","419.60"
"Hourly","PH19010203","1,137.90","468.30"
"Block","PB19010203-01","77.00","77.00"
"Block","PB19010204-01","66.00","51.90"
"Hourly","PH19010204","1,558.60","397.60"
"Block","PB19010205-01","62.70","62.70"
"Hourly","PH19010205","1,638.60","378.40"
"Hourly","PH19010206","718.40","982.20"
"Block","PB19010206-01","57.70","57.70"
"Block","PB19010207-01","49.00","49.00"
"Hourly","PH19010207","598.40","2,677.00"
"Block","PB19010208-01","40.70","40.70"
"Hourly","PH19010208","381.80","2,506.00"
"Block","PB19010209-01","53.40","53.40"
"Hourly","PH19010209","382.20","2,663.20"
"Hourly","PH19010210","736.20","1,588.00"
"Block","PB19010210-01","60.60","60.60"
"Block","PB19010211-01","55.70","55.70"
"Hourly","PH19010211","1,961.50","2,217.60"
"Block","PB19010212-01","68.70","68.70"
"Hourly","PH19010212","1,339.80","3,388.00"
"Hourly","PH19010213","1,291.00","3,542.60"
"Block","PB19010213-01","76.70","76.70"
"Block","PB19010214-01","79.80","79.80"
"Hourly","PH19010214","1,274.70","3,494.40"
"Block","PB19010215-01","85.80","85.80"
"Hourly","PH19010215","1,483.60","3,660.90"
"Block","PB19010216-01","81.80","85.30"
"Hourly","PH19010216","2,807.60","1,085.90"
"Hourly","PH19010217","3,123.60","1,209.40"
"Block","PB19010217-01","58.90","58.90"
"Hourly","PH19010218","3,166.80","1,372.90"
"Block","PB19010218-01","64.20","64.20"
"Block","PB19010219-01","53.60","53.60"
"Hourly","PH19010219","3,190.00","1,195.10"
"Hourly","PH19010220","3,675.30","893.40"
"Block","PB19010220-01","27.70","27.70"
"Block","PB19010221-01","35.30","35.30"
"Hourly","PH19010221","4,614.60","1,021.90"
"Hourly","PH19010222","4,728.00","1,202.30"
"Block","PB19010222-01","41.70","41.70"
"Hourly","PH19010223","4,672.90","1,238.70"
"Block","PB19010223-01","51.30","51.30"
"Block","PB19010300-01","45.40","45.40"
"Hourly","PH19010300","378.20","907.40"
"Block","PB19010301-01","38.80","38.80"
"Hourly","PH19010301","709.10","364.60"
"Block","PB19010302-01","58.10","58.10"
"Hourly","PH19010302","821.10","441.70"
"Block","PB19010303-01","39.60","39.60"
"Hourly","PH19010303","557.50","468.70"
