"Contract Type","Contract Name","Trade Value (TL)"
"Hourly","PH19010100","33,182.96"
"Block","PB19010100-02","59.13"
"Block","PB19010100-01","4,463.84"
"Block","PB19010101-01","6,813.07"
"Hourly","PH19010101","51,036.02"
"Hourly","PH19010102","15,652.36"
"Block","PB19010102-01","8,014.79"
"Hourly","PH19010103","15,810.47"
"Block","PB19010103-01","3,937.69"
"Hourly","PH19010104","5,566.49"
"Block","PB19010104-01","864.64"
"Block","PB19010104-07","2,835.00"
"Block","PB19010104-02","6.80"
"Hourly","PH19010105","5,557.96"
"Block","PB19010105-01","1,196.83"
"Hourly","PH19010106","5,585.81"
"Block","PB19010106-01","1,432.29"
"Block","PB19010107-01","2,267.10"
"Hourly","PH19010107","6,765.50"
"Block","PB19010108-01","3,571.65"
"Block","PB19010108-02","23.91"
"Hourly","PH19010108","9,170.59"
"Hourly","PH19010109","10,558.59"
"Block","PB19010109-01","3,602.65"
"Block","PB19010110-01","6,609.41"
"Hourly","PH19010110","15,563.90"
"Hourly","PH19010111","51,815.58"
"Block","PB19010111-01","9,151.32"
"Block","PB19010112-01","10,361.36"
"Hourly","PH19010112","77,214.03"
"Block","PB19010113-01","9,815.79"
"Hourly","PH19010113","82,918.06"
"Block","PB19010114-01","10,639.77"
"Hourly","PH19010114","84,199.75"
"Block","PB19010115-02","110.00"
"Hourly","PH19010115","92,870.13"
"Block","PB19010115-01","7,768.78"
"Hourly","PH19010116","88,364.97"
"Block","PB19010116-05","31,826.25"
"Block","PB19010116-01","13,984.44"
"Block","PB19010117-04","23,107.20"
"Block","PB19010117-01","24,975.54"
"Hourly","PH19010117","142,527.66"
"Block","PB19010118-01","25,928.86"
"Hourly","PH19010118","162,507.89"
"Block","PB19010119-01","32,530.99"
"Hourly","PH19010119","123,684.64"
"Hourly","PH19010120","115,312.61"
"Block","PB19010120-01","18,831.84"
"Hourly","PH19010121","101,674.29"
"Block","PB19010121-01","14,672.92"
"Hourly","PH19010122","102,314.96"
"Block","PB19010122-01","11,245.42"
"Block","PB19010123-01","8,117.28"
"Hourly","PH19010123","75,461.55"
"Hourly","PH19010200","17,087.75"
"Block","PB19010200-01","10,489.78"
"Block","PB19010201-01","8,584.48"
"Hourly","PH19010201","21,234.67"
"Block","PB19010202-01","8,944.32"
"Hourly","PH19010202","14,687.06"
"Hourly","PH19010203","6,870.58"
"Block","PB19010203-01","3,341.76"
"Block","PB19010204-01","1,666.52"
"Hourly","PH19010204","5,868.86"
"Block","PB19010205-01","2,722.91"
"Hourly","PH19010205","11,775.15"
"Hourly","PH19010206","16,274.20"
"Block","PB19010206-01","6,773.22"
"Block","PB19010207-01","13,981.86"
"Hourly","PH19010207","28,735.02"
"Block","PB19010208-01","11,685.56"
"Hourly","PH19010208","30,789.12"
"Block","PB19010209-01","14,295.64"
"Hourly","PH19010209","16,889.79"
"Hourly","PH19010210","98,082.28"
"Block","PB19010210-01","17,863.07"
"Block","PB19010211-01","16,615.62"
"Hourly","PH19010211","231,170.41"
"Block","PB19010212-01","20,000.12"
"Hourly","PH19010212","214,566.45"
"Hourly","PH19010213","195,922.46"
"Block","PB19010213-01","22,431.18"
"Block","PB19010214-01","23,545.48"
"Hourly","PH19010214","188,547.07"
"Block","PB19010215-01","25,112.42"
"Hourly","PH19010215","232,963.31"
"Block","PB19010216-01","24,088.36"
"Hourly","PH19010216","215,910.97"
"Hourly","PH19010217","260,094.60"
"Block","PB19010217-01","17,637.70"
"Hourly","PH19010218","200,520.04"
"Block","PB19010218-01","19,081.05"
"Block","PB19010219-01","15,706.47"
"Hourly","PH19010219","195,135.21"
"Hourly","PH19010220","126,460.83"
"Block","PB19010220-01","8,042.27"
"Block","PB19010221-01","10,269.70"
"Hourly","PH19010221","147,337.14"
"Hourly","PH19010222","232,466.07"
"Block","PB19010222-01","11,929.30"
"Hourly","PH19010223","201,888.42"
"Block","PB19010223-01","13,040.11"
"Block","PB19010300-01","5,684.06"
"Hourly","PH19010300","37,607.60"
"Block","PB19010301-01","9,719.58"
"Hourly","PH19010301","72,200.11"
"Block","PB19010302-01","11,918.30"
"Hourly","PH19010302","67,539.51"
"Block","PB19010303-01","5,876.64"
