"","make","pass_local","pass_imp","pass_total","lcv_local","lcv_imp","lcv_total","total_local","total_imp","total_total","year","month"
"1","ALFA ROMEO",0,4,4,0,0,0,0,4,4,2019,8
"2","ASTON MARTIN",0,2,2,0,0,0,0,2,2,2019,8
"3","AUDI",0,633,633,0,0,0,0,633,633,2019,8
"4","BENTLEY",0,0,0,0,0,0,0,0,0,2019,8
"5","BMW",0,684,684,0,0,0,0,684,684,2019,8
"6","CITROEN",0,533,533,0,170,170,0,703,703,2019,8
"7","DACIA",0,672,672,0,227,227,0,899,899,2019,8
"8","DS",0,13,13,0,0,0,0,13,13,2019,8
"9","FERRARI",0,1,1,0,0,0,0,1,1,2019,8
"10","FIAT",2.336,46,2.382,828,122,950,3.164,168,3.332,2019,8
"11","FORD",173,327,500,1.096,70,1.166,1.269,397,1.666,2019,8
"12","HONDA",1.172,110,1.282,0,0,0,1.172,110,1.282,2019,8
"13","HYUNDAI",353,729,1.082,0,36,36,353,765,1.118,2019,8
"14","INFINITI",0,0,0,0,0,0,0,0,0,2019,8
"15","ISUZU",0,0,0,36,0,36,36,0,36,2019,8
"16","IVECO",0,0,0,0,57,57,0,57,57,2019,8
"17","JAGUAR",0,15,15,0,0,0,0,15,15,2019,8
"18","JEEP",0,63,63,0,0,0,0,63,63,2019,8
"19","KARSAN",0,0,0,6,0,6,6,0,6,2019,8
"20","KIA",0,354,354,0,115,115,0,469,469,2019,8
"21","LAMBORGHINI",0,0,0,0,0,0,0,0,0,2019,8
"22","LAND ROVER",0,104,104,0,0,0,0,104,104,2019,8
"23","LEXUS",0,2,2,0,0,0,0,2,2,2019,8
"24","MASERATI",0,0,0,0,0,0,0,0,0,2019,8
"25","MAZDA",0,12,12,0,0,0,0,12,12,2019,8
"26","MERCEDES-BENZ",0,743,743,0,352,352,0,1.095,1.095,2019,8
"27","MINI",0,66,66,0,0,0,0,66,66,2019,8
"28","MITSUBISHI",0,6,6,0,68,68,0,74,74,2019,8
"29","NISSAN",0,706,706,0,78,78,0,784,784,2019,8
"30","OPEL",0,1,1,0,71,71,0,1.071,1.071,2019,8
"31","PEUGEOT",0,1.031,1.031,0,401,401,0,1.432,1.432,2019,8
"32","PORSCHE",0,18,18,0,0,0,0,18,18,2019,8
"33","RENAULT",2.712,444,3.156,0,282,282,2.712,726,3.438,2019,8
"34","SEAT",0,314,314,0,0,0,0,314,314,2019,8
"35","SKODA",0,1.092,1.092,0,0,0,0,1.092,1.092,2019,8
"36","SMART",0,1,1,0,0,0,0,1,1,2019,8
"37","SSANGYONG",0,4,4,0,10,10,0,14,14,2019,8
"38","SUBARU",0,18,18,0,0,0,0,18,18,2019,8
"39","SUZUKI",0,101,101,0,0,0,0,101,101,2019,8
"40","TOYOTA",1.282,80,1.362,0,36,36,1.282,116,1.398,2019,8
"41","VOLKSWAGEN",0,3.381,3.381,0,641,641,0,4.022,4.022,2019,8
"42","VOLVO",0,207,207,0,0,0,0,207,207,2019,8
"43","TOTAL",8.028,13.516,21.544,1.966,2.736,4.702,9.994,16.252,26.246,2019,8
"44","ALFA ROMEO",0,9,9,0,0,0,0,9,9,2019,9
"45","ASTON MARTIN",0,3,3,0,0,0,0,3,3,2019,9
"46","AUDI",0,1.191,1.191,0,0,0,0,1.191,1.191,2019,9
"47","BENTLEY",0,0,0,0,0,0,0,0,0,2019,9
"48","BMW",0,737,737,0,0,0,0,737,737,2019,9
"49","CITROEN",0,694,694,0,363,363,0,1.057,1.057,2019,9
"50","DACIA",0,998,998,0,201,201,0,1.199,1.199,2019,9
"51","DS",0,15,15,0,0,0,0,15,15,2019,9
"52","FERRARI",0,2,2,0,0,0,0,2,2,2019,9
"53","FIAT",4.904,77,4.981,956,186,1.142,5.86,263,6.123,2019,9
"54","FORD",143,1.106,1.249,2.304,99,2.403,2.447,1.205,3.652,2019,9
"55","HONDA",1.5,220,1.72,0,0,0,1.5,220,1.72,2019,9
"56","HYUNDAI",564,981,1.545,0,59,59,564,1.04,1.604,2019,9
"57","INFINITI",0,0,0,0,0,0,0,0,0,2019,9
"58","ISUZU",0,0,0,62,1,63,62,1,63,2019,9
"59","IVECO",0,0,0,0,70,70,0,70,70,2019,9
"60","JAGUAR",0,32,32,0,0,0,0,32,32,2019,9
"61","JEEP",0,145,145,0,0,0,0,145,145,2019,9
"62","KARSAN",0,0,0,18,0,18,18,0,18,2019,9
"63","KIA",0,517,517,0,130,130,0,647,647,2019,9
"64","LAMBORGHINI",0,0,0,0,0,0,0,0,0,2019,9
"65","LAND ROVER",0,143,143,0,0,0,0,143,143,2019,9
"66","LEXUS",0,3,3,0,0,0,0,3,3,2019,9
"67","MASERATI",0,2,2,0,0,0,0,2,2,2019,9
"68","MAZDA",0,23,23,0,0,0,0,23,23,2019,9
"69","MERCEDES-BENZ",0,1.097,1.097,0,304,304,0,1.401,1.401,2019,9
"70","MINI",0,89,89,0,0,0,0,89,89,2019,9
"71","MITSUBISHI",0,16,16,0,125,125,0,141,141,2019,9
"72","NISSAN",0,980,980,0,39,39,0,1.019,1.019,2019,9
"73","OPEL",0,1.437,1.437,0,111,111,0,1.548,1.548,2019,9
"74","PEUGEOT",0,1.403,1.403,0,535,535,0,1.938,1.938,2019,9
"75","PORSCHE",0,27,27,0,0,0,0,27,27,2019,9
"76","RENAULT",6.247,651,6.898,0,398,398,6.247,1.049,7.296,2019,9
"77","SEAT",0,883,883,0,0,0,0,883,883,2019,9
"78","SKODA",0,1.537,1.537,0,0,0,0,1.537,1.537,2019,9
"79","SMART",0,3,3,0,0,0,0,3,3,2019,9
"80","SSANGYONG",0,3,3,0,17,17,0,20,20,2019,9
"81","SUBARU",0,52,52,0,0,0,0,52,52,2019,9
"82","SUZUKI",0,207,207,0,0,0,0,207,207,2019,9
"83","TOYOTA",2.387,116,2.503,0,70,70,2.387,186,2.573,2019,9
"84","VOLKSWAGEN",0,3.792,3.792,0,636,636,0,4.428,4.428,2019,9
"85","VOLVO",0,372,372,0,0,0,0,372,372,2019,9
"86","TOTAL",15.745,19.563,35.308,3.34,3.344,6.684,19.085,22.907,41.992,2019,9
"87","ALFA ROMEO",0,15,15,0,0,0,0,15,15,2019,10
"88","ASTON MARTIN",0,2,2,0,0,0,0,2,2,2019,10
"89","AUDI",0,1.546,1.546,0,0,0,0,1.546,1.546,2019,10
"90","BENTLEY",0,0,0,0,0,0,0,0,0,2019,10
"91","BMW",0,1.046,1.046,0,0,0,0,1.046,1.046,2019,10
"92","CITROEN",0,1.605,1.605,0,246,246,0,1.851,1.851,2019,10
"93","DACIA",0,1.594,1.594,0,296,296,0,1.89,1.89,2019,10
"94","DS",0,44,44,0,0,0,0,44,44,2019,10
"95","FERRARI",0,0,0,0,0,0,0,0,0,2019,10
"96","FIAT",3.761,124,3.885,1.554,266,1.82,5.315,390,5.705,2019,10
"97","FORD",548,1.718,2.266,2.703,176,2.879,3.251,1.894,5.145,2019,10
"98","HONDA",1.796,276,2.072,0,0,0,1.796,276,2.072,2019,10
"99","HYUNDAI",1.035,1.476,2.511,0,95,95,1.035,1.571,2.606,2019,10
"100","INFINITI",0,0,0,0,0,0,0,0,0,2019,10
"101","ISUZU",0,0,0,97,2,99,97,2,99,2019,10
"102","IVECO",0,0,0,0,128,128,0,128,128,2019,10
"103","JAGUAR",0,38,38,0,0,0,0,38,38,2019,10
"104","JEEP",0,161,161,0,0,0,0,161,161,2019,10
"105","KARSAN",0,0,0,92,0,92,92,0,92,2019,10
"106","KIA",0,659,659,0,165,165,0,824,824,2019,10
"107","LAMBORGHINI",0,0,0,0,0,0,0,0,0,2019,10
"108","LAND ROVER",0,170,170,0,0,0,0,170,170,2019,10
"109","LEXUS",0,8,8,0,0,0,0,8,8,2019,10
"110","MASERATI",0,3,3,0,0,0,0,3,3,2019,10
"111","MAZDA",0,25,25,0,0,0,0,25,25,2019,10
"112","MERCEDES-BENZ",0,1.443,1.443,0,403,403,0,1.846,1.846,2019,10
"113","MINI",0,133,133,0,0,0,0,133,133,2019,10
"114","MITSUBISHI",0,53,53,0,224,224,0,277,277,2019,10
"115","NISSAN",0,1.204,1.204,0,44,44,0,1.248,1.248,2019,10
"116","OPEL",0,2.406,2.406,0,181,181,0,2.587,2.587,2019,10
"117","PEUGEOT",0,2.511,2.511,0,747,747,0,3.258,3.258,2019,10
"118","PORSCHE",0,35,35,0,0,0,0,35,35,2019,10
"119","RENAULT",1.931,503,2.434,0,576,576,1.931,1.079,3.01,2019,10
"120","SEAT",0,1.008,1.008,0,0,0,0,1.008,1.008,2019,10
"121","SKODA",0,2.291,2.291,0,0,0,0,2.291,2.291,2019,10
"122","SMART",0,7,7,0,0,0,0,7,7,2019,10
"123","SSANGYONG",0,8,8,0,32,32,0,40,40,2019,10
"124","SUBARU",0,45,45,0,0,0,0,45,45,2019,10
"125","SUZUKI",0,311,311,0,0,0,0,311,311,2019,10
"126","TOYOTA",2.231,179,2.41,0,101,101,2.231,280,2.511,2019,10
"127","VOLKSWAGEN",0,5.454,5.454,0,951,951,0,6.405,6.405,2019,10
"128","VOLVO",0,593,593,0,0,0,0,593,593,2019,10
"129","TOTAL",11.302,28.694,39.996,4.446,4.633,9.079,15.748,33.327,49.075,2019,10
"130","ALFA ROMEO",0,13,13,0,0,0,0,13,13,2019,11
"131","ASTON MARTIN",0,2,2,0,0,0,0,2,2,2019,11
"132","AUDI",0,1.249,1.249,0,0,0,0,1.249,1.249,2019,11
"133","BENTLEY",0,1,1,0,0,0,0,1,1,2019,11
"134","BMW",0,1.199,1.199,0,0,0,0,1.199,1.199,2019,11
"135","CITROEN",0,1.933,1.933,0,262,262,0,2.195,2.195,2019,11
"136","DACIA",0,1.711,1.711,0,334,334,0,2.045,2.045,2019,11
"137","DS",0,40,40,0,0,0,0,40,40,2019,11
"138","FERRARI",0,2,2,0,0,0,0,2,2,2019,11
"139","FIAT",6.83,111,6.941,2.238,297,2.535,9.068,408,9.476,2019,11
"140","FORD",599,1.879,2.478,3.193,108,3.301,3.792,1.987,5.779,2019,11
"141","HONDA",1.888,404,2.292,0,0,0,1.888,404,2.292,2019,11
"142","HYUNDAI",911,2.095,3.006,0,97,97,911,2.192,3.103,2019,11
"143","INFINITI",0,0,0,0,0,0,0,0,0,2019,11
"144","ISUZU",0,0,0,140,4,144,140,4,144,2019,11
"145","IVECO",0,0,0,0,148,148,0,148,148,2019,11
"146","JAGUAR",0,31,31,0,0,0,0,31,31,2019,11
"147","JEEP",0,253,253,0,0,0,0,253,253,2019,11
"148","KARSAN",0,0,0,40,0,40,40,0,40,2019,11
"149","KIA",0,513,513,0,137,137,0,650,650,2019,11
"150","LAMBORGHINI",0,1,1,0,0,0,0,1,1,2019,11
"151","LAND ROVER",0,238,238,0,0,0,0,238,238,2019,11
"152","LEXUS",0,19,19,0,0,0,0,19,19,2019,11
"153","MASERATI",0,5,5,0,0,0,0,5,5,2019,11
"154","MAZDA",0,55,55,0,0,0,0,55,55,2019,11
"155","MERCEDES-BENZ",0,834,834,0,530,530,0,1.364,1.364,2019,11
"156","MINI",0,84,84,0,0,0,0,84,84,2019,11
"157","MITSUBISHI",0,102,102,0,156,156,0,258,258,2019,11
"158","NISSAN",0,1.27,1.27,0,57,57,0,1.327,1.327,2019,11
"159","OPEL",0,2.35,2.35,0,316,316,0,2.666,2.666,2019,11
"160","PEUGEOT",0,4.263,4.263,0,500,500,0,4.763,4.763,2019,11
"161","PORSCHE",0,62,62,0,0,0,0,62,62,2019,11
"162","RENAULT",3.994,2.149,6.143,0,441,441,3.994,2.59,6.584,2019,11
"163","SEAT",0,806,806,0,0,0,0,806,806,2019,11
"164","SKODA",0,2.432,2.432,0,0,0,0,2.432,2.432,2019,11
"165","SMART",0,4,4,0,0,0,0,4,4,2019,11
"166","SSANGYONG",0,15,15,0,34,34,0,49,49,2019,11
"167","SUBARU",0,64,64,0,0,0,0,64,64,2019,11
"168","SUZUKI",0,305,305,0,0,0,0,305,305,2019,11
"169","TOYOTA",2.253,169,2.422,0,80,80,2.253,249,2.502,2019,11
"170","VOLKSWAGEN",0,4.243,4.243,0,1.261,1.261,0,5.504,5.504,2019,11
"171","VOLVO",0,422,422,0,0,0,0,422,422,2019,11
"172","TOTAL",16.475,31.328,47.803,5.611,4.762,10.373,22.086,36.09,58.176,2019,11
"173","ALFA ROMEO",0,16,16,0,0,0,0,16,16,2019,12
"174","ASTON MARTIN",0,0,0,0,0,0,0,0,0,2019,12
"175","AUDI",0,1.059,1.059,0,0,0,0,1.059,1.059,2019,12
"176","BENTLEY",0,4,4,0,0,0,0,4,4,2019,12
"177","BMW",0,1.84,1.84,0,0,0,0,1.84,1.84,2019,12
"178","CITROEN",0,1.897,1.897,0,644,644,0,2.541,2.541,2019,12
"179","DACIA",0,5.553,5.553,0,332,332,0,5.885,5.885,2019,12
"180","DS",0,83,83,0,0,0,0,83,83,2019,12
"181","FERRARI",0,2,2,0,0,0,0,2,2,2019,12
"182","FIAT",13.048,184,13.232,4.836,328,5.164,17.884,512,18.396,2019,12
"183","FORD",916,2.33,3.246,6.695,179,6.874,7.611,2.509,10.12,2019,12
"184","HONDA",2.961,676,3.637,0,0,0,2.961,676,3.637,2019,12
"185","HYUNDAI",1.079,2.491,3.57,0,187,187,1.079,2.678,3.757,2019,12
"186","INFINITI",0,0,0,0,0,0,0,0,0,2019,12
"187","ISUZU",0,0,0,127,6,133,127,6,133,2019,12
"188","IVECO",0,0,0,0,327,327,0,327,327,2019,12
"189","JAGUAR",0,27,27,0,0,0,0,27,27,2019,12
"190","JEEP",0,534,534,0,0,0,0,534,534,2019,12
"191","KARSAN",0,0,0,71,0,71,71,0,71,2019,12
"192","KIA",0,985,985,0,145,145,0,1.13,1.13,2019,12
"193","LAMBORGHINI",0,1,1,0,0,0,0,1,1,2019,12
"194","LAND ROVER",0,271,271,0,0,0,0,271,271,2019,12
"195","LEXUS",0,32,32,0,0,0,0,32,32,2019,12
"196","MASERATI",0,15,15,0,0,0,0,15,15,2019,12
"197","MAZDA",0,126,126,0,0,0,0,126,126,2019,12
"198","MERCEDES-BENZ",0,693,693,0,1.12,1.12,0,1.813,1.813,2019,12
"199","MINI",0,256,256,0,0,0,0,256,256,2019,12
"200","MITSUBISHI",0,332,332,0,399,399,0,731,731,2019,12
"201","NISSAN",0,1.454,1.454,0,379,379,0,1.833,1.833,2019,12
"202","OPEL",0,2.869,2.869,0,369,369,0,3.238,3.238,2019,12
"203","PEUGEOT",0,4.243,4.243,0,883,883,0,5.126,5.126,2019,12
"204","PORSCHE",0,42,42,0,0,0,0,42,42,2019,12
"205","RENAULT",10.005,2.111,12.116,0,475,475,10.005,2.586,12.591,2019,12
"206","SEAT",0,680,680,0,0,0,0,680,680,2019,12
"207","SKODA",0,2.531,2.531,0,0,0,0,2.531,2.531,2019,12
"208","SMART",0,8,8,0,0,0,0,8,8,2019,12
"209","SSANGYONG",0,10,10,0,54,54,0,64,64,2019,12
"210","SUBARU",0,113,113,0,0,0,0,113,113,2019,12
"211","SUZUKI",0,386,386,0,0,0,0,386,386,2019,12
"212","TOYOTA",2.487,171,2.658,0,134,134,2.487,305,2.792,2019,12
"213","VOLKSWAGEN",0,5.799,5.799,0,1.981,1.981,0,7.78,7.78,2019,12
"214","VOLVO",0,509,509,0,0,0,0,509,509,2019,12
"215",NA,0,0,0,0,0,0,0,0,0,2019,12
"216","TOTAL",30.496,40.333,70.829,11.729,7.942,19.671,42.225,48.275,90.5,2019,12
"217","ALFA ROMEO",0,2,2,0,0,0,0,2,2,2019,12
"218","AUDI",0,461,461,0,0,0,0,461,461,2019,12
"219","BENTLEY",0,0,0,0,0,0,0,0,0,2020,1
"220","BMW",0,251,251,0,0,0,0,251,251,2020,1
"221","CITROEN",0,584,584,0,250,250,0,834,834,2020,1
"222","DACIA",0,2.261,2.261,0,271,271,0,2.532,2.532,2020,1
"223","DS",0,10,10,0,0,0,0,10,10,2020,1
"224","FERRARI",0,1,1,0,0,0,0,1,1,2020,1
"225","FIAT",2.014,7,2.021,1.039,176,1.215,3.053,183,3.236,2020,1
"226","FORD",140,206,346,1.789,50,1.839,1.929,256,2.185,2020,1
"227","HONDA",1,101,1.101,0,0,0,1,101,1.101,2020,1
"228","HYUNDAI",293,950,1.243,0,55,55,293,1.005,1.298,2020,1
"229","INFINITI",0,0,0,0,0,0,0,0,0,2020,1
"230","ISUZU",0,0,0,37,2,39,37,2,39,2020,1
"231","IVECO",0,0,0,0,64,64,0,64,64,2020,1
"232","JAGUAR",0,0,0,0,0,0,0,0,0,2020,1
"233","JEEP",0,196,196,0,0,0,0,196,196,2020,1
"234","KARSAN",0,0,0,48,0,48,48,0,48,2020,1
"235","KIA",0,325,325,0,5,5,0,330,330,2020,1
"236","LAMBORGHINI",0,0,0,0,0,0,0,0,0,2020,1
"237","LAND ROVER",0,8,8,0,0,0,0,8,8,2020,1
"238","LEXUS",0,7,7,0,0,0,0,7,7,2020,1
"239","MASERATI",0,0,0,0,0,0,0,0,0,2020,1
"240","MAZDA",0,11,11,0,0,0,0,11,11,2020,1
"241","MERCEDES-BENZ",0,504,504,0,219,219,0,723,723,2020,1
"242","MINI",0,28,28,0,0,0,0,28,28,2020,1
"243","MITSUBISHI",0,29,29,0,99,99,0,128,128,2020,1
"244","NISSAN",0,757,757,0,66,66,0,823,823,2020,1
"245","OPEL",0,554,554,0,51,51,0,605,605,2020,1
"246","PEUGEOT",0,1.338,1.338,0,418,418,0,1.756,1.756,2020,1
"247","PORSCHE",0,11,11,0,0,0,0,11,11,2020,1
"248","RENAULT",2.558,185,2.743,0,171,171,2.558,356,2.914,2020,1
"249","SEAT",0,578,578,0,0,0,0,578,578,2020,1
"250","SKODA",0,884,884,0,0,0,0,884,884,2020,1
"251","SMART",0,12,12,0,0,0,0,12,12,2020,1
"252","SSANGYONG",0,23,23,0,19,19,0,42,42,2020,1
"253","SUBARU",0,17,17,0,0,0,0,17,17,2020,1
"254","SUZUKI",0,22,22,0,0,0,0,22,22,2020,1
"255","TOYOTA",2.321,30,2.351,0,25,25,2.321,55,2.376,2020,1
"256","VOLKSWAGEN",0,3.292,3.292,0,403,403,0,3.695,3.695,2020,1
"257","VOLVO",0,44,44,0,0,0,0,44,44,2020,1
"258","TOTAL",8.326,13.69,22.016,2.913,2.344,5.257,11.239,16.034,27.273,2020,1
"259","ALFA ROMEO",0,0,0,0,0,0,0,0,0,2020,2
"260","ASTON MARTIN",0,2,2,0,0,0,0,2,2,2020,2
"261","AUDI",0,733,733,0,0,0,0,733,733,2020,2
"262","BENTLEY",0,1,1,0,0,0,0,1,1,2020,2
"263","BMW",0,815,815,0,0,0,0,815,815,2020,2
"264","CITROEN",0,1.534,1.534,0,341,341,0,1.875,1.875,2020,2
"265","DACIA",0,1.851,1.851,0,352,352,0,2.203,2.203,2020,2
"266","DS",0,101,101,0,0,0,0,101,101,2020,2
"267","FERRARI",0,3,3,0,0,0,0,3,3,2020,2
"268","FIAT",3.886,22,3.908,1.636,350,1.986,5.522,372,5.894,2020,2
"269","FORD",216,862,1.078,3.306,71,3.377,3.522,933,4.455,2020,2
"270","HONDA",1.266,172,1.438,0,0,0,1.266,172,1.438,2020,2
"271","HYUNDAI",525,1.385,1.91,0,96,96,525,1.481,2.006,2020,2
"272","INFINITI",0,0,0,0,0,0,0,0,0,2020,2
"273","ISUZU",0,0,0,80,3,83,80,3,83,2020,2
"274","IVECO",0,0,0,0,83,83,0,83,83,2020,2
"275","JAGUAR",0,47,47,0,0,0,0,47,47,2020,2
"276","JEEP",0,330,330,0,0,0,0,330,330,2020,2
"277","KARSAN",0,0,0,28,0,28,28,0,28,2020,2
"278","KIA",0,1.14,1.14,0,4,4,0,1.144,1.144,2020,2
"279","LAMBORGHINI",0,1,1,0,0,0,0,1,1,2020,2
"280","LAND ROVER",0,151,151,0,0,0,0,151,151,2020,2
"281","LEXUS",0,7,7,0,0,0,0,7,7,2020,2
"282","MASERATI",0,2,2,0,0,0,0,2,2,2020,2
"283","MAZDA",0,7,7,0,0,0,0,7,7,2020,2
"284","MERCEDES-BENZ",0,1.239,1.239,0,480,480,0,1.719,1.719,2020,2
"285","MINI",0,82,82,0,0,0,0,82,82,2020,2
"286","MITSUBISHI",0,21,21,0,146,146,0,167,167,2020,2
"287","NISSAN",0,275,275,0,92,92,0,367,367,2020,2
"288","OPEL",0,1.768,1.768,0,33,33,0,1.801,1.801,2020,2
"289","PEUGEOT",0,2.44,2.44,0,555,555,0,2.995,2.995,2020,2
"290","PORSCHE",0,36,36,0,0,0,0,36,36,2020,2
"291","RENAULT",6.524,727,7.251,0,228,228,6.524,955,7.479,2020,2
"292","SEAT",0,1.199,1.199,0,0,0,0,1.199,1.199,2020,2
"293","SKODA",0,1.57,1.57,0,0,0,0,1.57,1.57,2020,2
"294","SMART",0,16,16,0,0,0,0,16,16,2020,2
"295","SSANGYONG",0,33,33,0,21,21,0,54,54,2020,2
"296","SUBARU",0,59,59,0,0,0,0,59,59,2020,2
"297","SUZUKI",0,124,124,0,0,0,0,124,124,2020,2
"298","TOYOTA",2.74,90,2.83,0,34,34,2.74,124,2.864,2020,2
