"Date.Time","Hour","Day.Week","Month","WAP..TL.MWh.","Clearing.Quantity..MWh.","Min.Bid.Price..TL.MWh.","Max..Offer.Price..TL.MWh.","Bid.Quantity..MWh.","Offer.Quantity..MWh.","Min..Matching.Price..TL.MWh.","Max..Matching.Price..TL.MWh.","Trade.Value..TL.","Max..Bid.Price..TL.MWh.","Min..Offer.Price..TL.MWh."
2019-01-01,0,"Tue",1,100.23,331.2,5,100.39,392.5,509.4,60,100.39,33182.96,101.38,"60.00"
2019-01-01,1,"Tue",1,96.85,527.7,5,296.29,910,664.2,93.82,97.55,51036.02,97.55,"93.82"
2019-01-01,2,"Tue",1,80.25,196.7,41,81.6,576.7,349.6,41.05,81.6,15652.36,81.6,"40.00"
2019-01-01,3,"Tue",1,38.28,414.7,1,45,797.4,552.9,4,45,15810.47,45,"4.00"
2019-01-01,4,"Tue",1,11.67,497.5,1,19.95,669.3,893.9,5,11.52,5566.49,15,"5.00"
2019-01-01,5,"Tue",1,11.09,523.7,1,19.99,720.1,0,5,11.14,5557.96,11.14,"5.00"
2019-01-01,6,"Tue",1,11.3,515.5,1.1,19.99,697.4,0,5.3,11.14,5585.81,11.14,"4.00"
2019-01-01,7,"Tue",1,23.07,302.4,3,35,0,442.8,4,35,6765.5,35,"3.00"
2019-01-01,8,"Tue",1,33.56,269.3,4,45,0,489.1,7.01,45,9170.59,45,"6.00"
2019-01-01,9,"Tue",1,44.22,236.1,6.1,65,0,572.3,40,45.21,10558.59,46.56,"40.00"
2019-01-01,10,"Tue",1,68.03,224.9,9,100,0,649.2,59.99,71.54,15563.9,73.26,"55.00"
2019-01-01,11,"Tue",1,98.54,526.9,13,100.31,0,0,80,100.31,51815.58,102.12,"80.00"
2019-01-01,12,"Tue",1,100.1,773.3,10,300,0,0,14.11,102.94,77214.03,997,"14.00"
2019-01-01,13,"Tue",1,99.31,833.9,11,300,0,0,11.01,100.39,82918.06,101,"11.00"
2019-01-01,14,"Tue",1,103.11,818,13,300,0,0,94,104.99,84199.75,105,"94.00"
2019-01-01,15,"Tue",1,101.02,921.3,10.39,300,0,0,87.99,103.91,92870.13,106.55,"87.99"
2019-01-01,16,"Tue",1,119.7,764,1,0,0,0,90.01,117.7,88364.97,119.98,"90.01"
2019-01-01,17,"Tue",1,282.02,504.9,200,375,0,0,260.04,286.93,142527.66,290.77,"87.99"
2019-01-01,18,"Tue",1,285.08,569.6,200,350,0,0,267,291.51,162507.89,293.68,"250.00"
2019-01-01,19,"Tue",1,282.38,438.4,200,355,0,0,266,289.1,123684.64,289.54,"265.00"
2019-01-01,20,"Tue",1,281.86,408.3,201,355,0,0,261,287.75,115312.61,295.1,"260.00"
2019-01-01,21,"Tue",1,277.22,367.4,201,355,0,0,264.5,285.16,101674.29,290.74,"202.90"
2019-01-01,22,"Tue",1,200.92,510,100,300,0,931.5,175,204.89,102314.96,207.66,"175.00"
2019-01-01,23,"Tue",1,101.44,743.5,15,300,0,0,90.05,102.48,75461.55,104.52,"90.00"
2019-01-02,0,"Wed",1,103.99,164.3,80,140,325.2,249.9,100,114,17087.75,114,"100.00"
2019-01-02,1,"Wed",1,87.81,240.3,0,300,441.5,410,82,90,21234.67,90,"80.00"
2019-01-02,2,"Wed",1,82.74,176.4,3,300,552.6,419.6,78.01,85,14687.06,85,"75.00"
2019-01-02,3,"Wed",1,44.77,151.1,1,300,0,468.3,31.1,50,6870.58,50,"30.00"
2019-01-02,4,"Wed",1,32.17,182.3,1,300,0,397.6,28,41,5868.86,41,"28.00"
2019-01-02,5,"Wed",1,52.85,211.6,1,300,0,378.4,51,59,11775.15,59,"50.00"
2019-01-02,6,"Wed",1,121.43,132.1,1,300,718.4,982.2,110,126.34,16274.2,127.4,"110.00"
2019-01-02,7,"Wed",1,284.21,101.3,1,350,598.4,0,250,287.64,28735.02,287.66,"245.00"
2019-01-02,8,"Wed",1,287.77,106.9,1,350,381.8,0,280,291,30789.12,291,"275.00"
2019-01-02,9,"Wed",1,277.7,58.9,1,366,382.2,0,120,296.98,16889.79,296.99,"120.00"
2019-01-02,10,"Wed",1,291.76,336.8,1,400,736.2,0,285.95,305.77,98082.28,305.77,"285.00"
2019-01-02,11,"Wed",1,297.78,776.4,1,400,0,0,280,309,231170.41,309,"280.00"
2019-01-02,12,"Wed",1,292.26,733.9,200,400,0,0,201.02,304.5,214566.45,304.5,"201.02"
2019-01-02,13,"Wed",1,289.86,676.6,200,365,0,0,250,302.89,195922.46,303.31,"250.00"
2019-01-02,14,"Wed",1,292.42,645.5,200,365,0,0,201.02,301,188547.07,304.32,"2.00"
2019-01-02,15,"Wed",1,291.45,799.7,200,365,0,0,251.16,301.97,232963.31,303.27,"251.16"
2019-01-02,16,"Wed",1,292.75,738,200,365,0,0,270.01,301.98,215910.97,304.72,"201.00"
2019-01-02,17,"Wed",1,298.7,870.9,200,370,0,0,285,310,260094.6,310,"270.00"
2019-01-02,18,"Wed",1,296.72,675.9,201,370,0,0,201,307.12,200520.04,307.12,"201.00"
2019-01-02,19,"Wed",1,293.65,664.4,200,365,0,0,280,301.95,195135.21,301.95,"201.00"
2019-01-02,20,"Wed",1,286.54,441.7,200,360,0,893.4,205.01,294.5,126460.83,294.5,"201.00"
2019-01-02,21,"Wed",1,286.77,514.3,200,350,0,0,275,293,147337.14,293,"200.80"
2019-01-02,22,"Wed",1,285.08,815.6,200,355,0,0,273.4,293,232466.07,293,"273.40"
2019-01-02,23,"Wed",1,253.3,797.2,160,330,0,0,236,262,201888.42,262,"236.00"
2019-01-03,0,"Thu",1,123.48,305.2,30,300,378.2,907.4,110.01,126.37,37607.6,128.4,"110.01"
2019-01-03,1,"Thu",1,248.84,290.4,100,350,709.1,364.6,235,257,72200.11,257,"235.00"
2019-01-03,2,"Thu",1,203.95,331.5,90,304,821.1,441.7,192.1,212,67539.51,212,"190.00"
2019-01-03,3,"Thu",1,147.88,328.6,50,300,557.5,468.7,136.01,151,48574.12,151,"135.00"
2019-01-03,4,"Thu",1,108.09,262.3,20,300,467.4,432.8,96,114,28323.38,114,"96.00"
2019-01-03,5,"Thu",1,174.89,247.7,50,279.72,0,606.7,100,180,43112.02,180,"100.00"
2019-01-03,6,"Thu",1,218.43,233.2,80,310,0,382.3,206,230,50900.29,230,"206.00"
2019-01-03,7,"Thu",1,282.67,222.4,120,350,0,477,120,290,62832.25,290,"120.00"
2019-01-03,8,"Thu",1,291.05,217.8,120,386.39,0,511.1,278.5,300,62675.37,300,"277.86"
2019-01-03,9,"Thu",1,288.97,210.9,120,391.11,870.9,577.6,276.11,295.88,60940.67,395.88,"276.00"
2019-01-03,10,"Thu",1,288.32,257.6,190,392.83,971.3,984.2,281,295,74010.84,300.44,"281.00"
2019-01-03,11,"Thu",1,289.6,401,84,394,0,0,281,295.51,115762.75,299.21,"281.00"
2019-01-03,12,"Thu",1,279.28,399.9,175,388,0,0,261,295,111244.75,300,"261.00"
